Date;Release Date;Type
2001-11-06;2001-11-06;Statement
2001-11-06;2001-12-13;Minute
2001-10-02;2001-11-08;Minute
2001-10-02;2001-10-02;Statement
2001-09-17;2001-09-17;Statement
2001-09-17;;Minute
2001-09-13;;Minute
2001-08-21;2001-10-04;Minute
2001-08-21;2001-08-21;Statement
2001-06-27;2001-06-27;Statement
2001-06-27;2001-08-23;Minute
2001-05-15;2001-06-28;Minute
2001-05-15;2001-05-15;Statement
2001-04-18;2001-04-18;Statement
2001-04-18;;Minute
2001-04-11;;Minute
2001-03-20;2001-05-17;Minute
2001-03-20;2001-03-20;Statement
2001-01-31;2001-03-22;Minute
2001-01-31;2001-01-31;Statement
2001-01-03;2001-01-03;Statement
2001-01-03;;Minute
2000-12-19;2001-02-01;Minute
2000-12-19;2000-12-19;Statement
2000-11-15;2000-12-21;Minute
2000-11-15;2000-11-15;Statement
2000-10-03;2000-11-16;Minute
2000-10-03;2000-10-03;Statement
2000-08-22;2000-10-05;Minute
2000-08-22;2000-08-22;Statement
2000-06-28;2000-08-24;Minute
2000-06-28;2000-06-28;Statement
2000-05-16;2000-06-29;Minute
2000-05-16;2000-05-16;Statement
2000-03-21;2000-05-18;Minute
2000-03-21;2000-03-21;Statement
2000-02-02;2000-03-23;Minute
2000-02-02;2000-02-02;Statement
